gateway          | 
gateway          |   .   ____          _            __ _ _
gateway          |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
gateway          | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
gateway          |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
consult          | 
gateway          |   '  |____| .__|_| |_|_| |_\__, | / / / /
gateway          |  =========|_|==============|___/=/_/_/_/
gateway          |  :: Spring Boot ::                (v3.2.1)
gateway          | 
consult          |   .   ____          _            __ _ _
consult          |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
consult          | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
consult          |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
consult          |   '  |____| .__|_| |_|_| |_\__, | / / / /
consult          |  =========|_|==============|___/=/_/_/_/
consult          |  :: Spring Boot ::                (v3.2.1)
consult          | 
idm              | SLF4J: No SLF4J providers were found.
idm              | SLF4J: Defaulting to no-operation (NOP) logger implementation
idm              | SLF4J: See https://www.slf4j.org/codes.html#noProviders for further details.
idm              | Jan 28, 2024 8:48:49 PM medical.idm.IDMServer start
idm              | INFO: Database connection failed
idm              | SLF4J: No SLF4J providers were found.
gateway          | 2024-01-28T20:48:56.555Z  INFO 7 --- [           main] medical.gateway.Gateway                  : Starting Gateway using Java 17.0.9 with PID 7 (/usr/src/app/gateway-1.0-SNAPSHOT.jar started by root in /usr/src/app)
gateway          | 2024-01-28T20:48:56.604Z  INFO 7 --- [           main] medical.gateway.Gateway                  : No active profile set, falling back to 1 default profile: "default"
gateway          | 2024-01-28T20:49:04.302Z  INFO 7 --- [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=337f80e2-3cda-3664-9d74-b6c741500e2e
gateway          | 2024-01-28T20:49:05.333Z  INFO 7 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
gateway          | 2024-01-28T20:49:05.360Z  INFO 7 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
gateway          | 2024-01-28T20:49:05.362Z  INFO 7 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.17]
gateway          | 2024-01-28T20:49:05.483Z  INFO 7 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
gateway          | 2024-01-28T20:49:05.486Z  INFO 7 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 8058 ms
gateway          | 2024-01-28T20:49:09.397Z  INFO 7 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path ''
gateway          | 2024-01-28T20:49:09.476Z  INFO 7 --- [           main] medical.gateway.Gateway                  : Started Gateway in 17.031 seconds (process running for 21.857)
gateway          | 2024-01-28T20:51:11.828Z  INFO 7 --- [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
gateway          | 2024-01-28T20:51:11.829Z  INFO 7 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
gateway          | 2024-01-28T20:51:11.832Z  INFO 7 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
gateway          | 2024-01-28T20:51:11.876Z  INFO 7 --- [nio-8080-exec-1]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/login
gateway          | 2024-01-28T20:51:11.880Z  INFO 7 --- [nio-8080-exec-1]                                          : Method: OPTIONS, Path: /api/medical_office/login, Status: 200
